|city_clear|ru_names|ru_names2|ru_names3
51|Cимферополь|Cимферополь|Cимферополь|Cимферополь
52|Cочи|Cочи|Cочи|Cочи
53|Cпб|CПб|CПб|CПб
54|Cургут|Cургут|Cургут|Cургут
55|Default|По умолчанию|По умолчанию|По умолчанию
56|Djkujuhfl|Djkujuhfl|Djkujuhfl|Djkujuhfl
57|Dmitrov|Дмитров|Дмитров|Дмитров
58|Ghent, Belgium|Гент Бельгия|Гент Бельгия|Гент Бельгия
59|Goa, Индия|Гоа Индия|Гоа Индия|Гоа Индия
60|Ho Chi Minh City|Хошимин|Хошимин|Хошимин
61|Indonesia|Индонезия|Индонезия|Индонезия
62|Internet|интернет|интернет|интернет
63|Jersey City|Джерси Сити|Джерси Сити|Джерси Сити
64|KZN-MSK-DXB|KZN-MSK-DXB|KZN-MSK-DXB|Казань -Москва -DXB
65|Kazan|Казань|Казань|Казань
66|Khabarovsk|Хабаровск|Хабаровск|Хабаровск
67|Khimki|Химки|Химки|Химки
68|Klaukkala|Klaukkala|Klaukkala|Klaukkala
69|Krasnoyarsk|Красноярск|Красноярск|Красноярск
70|Krasnoyarsk (Санкт-Петербург)|Красноярск Санкт-Петербург|Красноярск Санкт-Петербург|Красноярск Санкт-Петербург
71|Kurgan|Курган|Курган|Курган
72|Kursk|Курск|Курск|Курск
73|London|Лондон|Лондон|Лондон
74|Louisville|Луисвилл|Луисвилл|Луисвилл
75|MOSCOW|МОСКВА||
76|MOSKVA|MOSKVA|MOSKVA|MOSKVA
77|MSK|ММС|С|С
78|Miami Beach|пляж Маями|пляж Маями|пляж Маями
79|Miesau|Miesau|Miesau|Miesau
80|Mocква|Mocква|Mocква|Mocква
81|Moscow|Москва|Москва|Москва
82|Moscow -- New York|Москва - Нью Йорк|Москва - Нью Йорк|Москва - Нью Йорк
83|Moscow, Russia|Москва Россия|Москва Россия|Москва Россия
84|Moscow-city|Г. Москва|Г. Москва|Г. Москва
85|Moskow|Moskow|Moskow|Moskow
86|Moskva|Москва|Москва|Москва
87|Mscow|Москва|Москва|Москва
88|Murmansk|Мурманск|Мурманск|Мурманск
89|Mосква|Mосква|Mосква|Mосква
90|N-ск|Н-ск|Н-ск|Н-ск
91|N.Novgorod|Н.Новгород|Н.Новгород|Н.Новгород
92|Naberezhnye Chelny|Набережные Челны|Набережные Челны|Набережные Челны
93|New York|New York|New York|New York
94|Niznevartovsk|Нижневартовск|Нижневартовск|Нижневартовск
95|Novosibirsk|Новосибирск|Новосибирск|Новосибирск
96|Omsk|Омск|Омск|Омск
97|Orel|Орел|Орел|Орел
98|Penza|Пенза|Пенза|Пенза
99|Perm|перманент|перманент|перманент
100|Podolsk|Подольск|Подольск|Подольск
101|Pskov|Псков|Псков|Псков
102|Rfpfym|Rfpfym|Rfpfym|Rfpfym
103|Rotherham|Ротерхам|Ротерхам|Ротерхам
104|Ryazan|Рязань|Рязань|Рязань
105|SPB|SPB|SPB|Санкт-Петербург 
106|SPb|SPb|SPb|SPb
107|Safonovo|Safonovo|Safonovo|Safonovo
108|Saint Petersburg|Saint Petersburg|Saint Petersburg|Saint Petersburg
109|Saint-Petersburg|Санкт-Петербург|Санкт-Петербург|Санкт-Петербург
110|Salou Tarragona (Москва)|Salou Tarragona Москва|Salou Tarragona Москва|Salou Tarragona Москва
111|Samara|Samara|Samara|Samara
112|Sankt-Peterbourg|Sankt-Peterbourg|Sankt-Peterbourg|Sankt-Peterbourg
113|Sankt-Peterburg|Sankt-Peterburg|Sankt-Peterburg|Sankt-Peterburg
114|Saratov|Saratov|Saratov|Saratov
115|Sochi|Sochi|Sochi|Sochi
116|Spb|Spb|Spb|Spb
117|St Petersburg|St Petersburg|St Petersburg|St Petersburg
118|St.Petersburg|St.Petersburg|St.Petersburg|St.Petersburg
119|Stavropol|Stavropol|Stavropol|Stavropol
120|Sydney|Sydney|Sydney|Sydney
121|Tomsk|Tomsk|Tomsk|Tomsk
122|Trondheim, Norway|Trondheim Norway|Trondheim Norway|Trondheim Norway
123|UFA|UFA|UFA|Уфа 
124|Vjcrdf|Vjcrdf|Vjcrdf|Vjcrdf
125|Vlg|Vlg|Vlg|Vlg
126|Volgograd|Volgograd|Volgograd|Volgograd
127|Voronezh|Voronezh|Voronezh|Voronezh
128|Waterbury|Waterbury|Waterbury|Waterbury
129|Winnipeg, Canada|Winnipeg Canada|Winnipeg Canada|Winnipeg Canada
130|Zarechniy|Zarechniy|Zarechniy|Zarechniy
131|Zhukovsky|Zhukovsky|Zhukovsky|Zhukovsky
132|\бобруйск :)|\бобруйск |\бобруйск |\бобруйск 
133|barnaul|barnaul|barnaul|barnaul
134|c.Коса|c.Коса|c.Коса|c.Коса
135|c.Новодугино|c.Новодугино|c.Новодугино|c.Новодугино
136|chelyabinsk|chelyabinsk|chelyabinsk|chelyabinsk
137|cтарый оскол|cтарый оскол|cтарый оскол|cтарый оскол
138|issy-les-moulineaux|Исси-ле-Мулино|Исси-ле-Мулино|Исси-ле-Мулино
139|kazan|kazan|kazan|kazan
140|misk|misk|misk|misk
141|moscow|Москва|Москва|Москва
142|moscow city|Москва Сити|Москва Сити|Москва Сити
143|moskva|moskva|moskva|moskva
144|msk|msk|msk|msk
145|n/a (Москва)|na Москва|na Москва|na Москва
146|omsk|omsk|omsk|omsk
147|saratov|саратов|саратов|саратов
148|smolensk|Смоленск|Смоленск|Смоленск
149|volgograd|волгоград|волгоград|волгоград
150|Ё-бург|Ё-бург|Ё-бург|Ё-бург
151|А-вск|А-вск|А-вск|А-вск
152|АБАТСКОЕ|АБАТСКОЕ||
153|АКСАЙ|АКСАЙ|Й|Й
154|АЛЕКСАНДРОВ|АЛЕКСАНДРОВ|В|В
155|АНАПА|АНАПА|А|А
156|АНГАРСК|АНГАРСК|К|К
157|АРМАВИР|АРМАВИР|Р|Р
158|АРТЕМ|АРТЕМ|М|М
159|АСТРАХАНЬ|АСТРАХАНЬ|Ь|Ь
160|АФИНЫ|АФИНЫ|Ы|Ы
161|Абага (Амгинский р-н)|Абага Амгинский р-н|Абага Амгинский |Абага Амгинский 
162|Абаза|Абаза|Абаза|Абаза
163|Абакан|Абакан|Абакан|Абакан
164|Абакан (Абакан)|Абакан Абакан|Абакан Абакан|Абакан Абакан
165|Абакан (Москва)|Абакан Москва|Абакан Москва|Абакан Москва
166|Абакан (Республика Хакасия)|Абакан Республика Хакасия|Абакан Республика Хакасия|Абакан Республика Хакасия
167|Абакан Республика Хакасия|Абакан Республика Хакасия|Абакан Республика Хакасия|Абакан Республика Хакасия
168|Абашево|Абашево|Абашево|Абашево
169|Абдулино|Абдулино|Абдулино|Абдулино
170|Абзелиловский р-н, с.Аскарово|Абзелиловский р-н с.Аскарово|Абзелиловский  с.Аскарово|Абзелиловский  с.Аскарово
171|Абинск|Абинск|Абинск|Абинск
172|Абинск (Краснодарский край)|Абинск Краснодарский край|Абинск Краснодарский край|Абинск Краснодарский край
173|Абинский район поселок Ахтырский|Абинский район поселок Ахтырский| поселок Ахтырский| поселок Ахтырский
174|Абрамово|Абрамово|Абрамово|Абрамово
175|Аван Хабаровский край Вяземсий район (Хабаровск)|Аван Хабаровский край Вяземсий район Хабаровск|Аван Хабаровский край  Хабаровск|Аван Хабаровский край  Хабаровск
176|Авсюнино|Авсюнино|Авсюнино|Авсюнино
177|Агалатово|Агалатово|Агалатово|Агалатово
178|Агаповка|Агаповка|Агаповка|Агаповка
179|Агвали|Агвали|Агвали|Агвали
180|Агидель|Агидель|Агидель|Агидель
181|Агинское|Агинское|Агинское|Агинское
182|Агинское (Забайкальский край)|Агинское Забайкальский край|Агинское Забайкальский край|Агинское Забайкальский край
183|Агрыз|Агрыз|Агрыз|Агрыз
184|Адлер|Адлер|Адлер|Адлер
185|Адлер (Санкт-Петербург)|Адлер Санкт-Петербург|Адлер Санкт-Петербург|Адлер Санкт-Петербург
186|Адлер (Сочи)|Адлер Сочи|Адлер Сочи|Адлер Сочи
187|Азнакаево|Азнакаево|Азнакаево|Азнакаево
188|Азнакаевский район п.г.т. Актюбинский|Азнакаевский район п.г.т. Актюбинский| п.г.т. Актюбинский| п.г.т. Актюбинский
189|Азов|Азов|Азов|Азов
190|Азов (Ростовская обл.)|Азов Ростовская обл.|Азов .|Азов .
191|Азов, Ростовская область|Азов Ростовская область|Азов |Азов 
192|Айхал|Айхал|Айхал|Айхал
193|Академгородок|Академгородок|Академгородок|Академгородок
194|Аксай|Аксай|Аксай|Аксай
195|Аксай (Краснодар)|Аксай Краснодар|Аксай Краснодар|Аксай Краснодар
196|Аксай (Ростовская область)|Аксай Ростовская область|Аксай |Аксай 
197|Аксай РО|Аксай РО|Аксай |Аксай 
198|Аксай, Ростовская обл.|Аксай Ростовская обл.|Аксай .|Аксай .
199|Аксаково|Аксаково|Аксаково|Аксаково
200|Аксеново|Аксеново|Аксеново|Аксеново
201|Актау|Актау|Актау|Актау
202|Акъяр (Хайбуллинский р-н)|Акъяр Хайбуллинский р-н|Акъяр Хайбуллинский |Акъяр Хайбуллинский 
203|Алабота|Алабота|Алабота|Алабота
204|Алапаевск|Алапаевск|Алапаевск|Алапаевск
205|Алатырь|Алатырь|Алатырь|Алатырь
206|Алдан|Алдан|Алдан|Алдан
207|Алейск|Алейск|Алейск|Алейск
208|Александро-Невский|Александро-Невский|Александро-Невский|Александро-Невский
209|Александров|Александров|Александров|Александров
210|Александров Владимирская область (Владимир)|Александров Владимирская область Владимир|Александров  Владимир|Александров  Владимир
211|Александров Владимирской области|Александров Владимирской области|Александров асти|Александров асти
212|Александров, Владимирская область|Александров Владимирская область|Александров |Александров 
213|Александровск-Сахалинский|Александровск-Сахалинский|Александровск-Сахалинский|Александровск-Сахалинский
214|Александровское отд1861 Ставропольского края СБ РФ|Александровское отд1861 Ставропольского края СБ РФ|Александровское отд Ставропольского края  |Александровское отд Ставропольского края  
215|Алексеевка|Алексеевка|Алексеевка|Алексеевка
216|Алексеевка Белгородская область|Алексеевка Белгородская область|Алексеевка |Алексеевка 
217|Алексеевка,Белгородская область|Алексеевка Белгородская область|Алексеевка |Алексеевка 
218|Алексеевская|Алексеевская|Алексеевская|Алексеевская
219|Алексеевское|Алексеевское|Алексеевское|Алексеевское
220|Алексин|Алексин|Алексин|Алексин
221|Алексин (Тульская обл.)|Алексин Тульская обл.|Алексин .|Алексин .
222|Алексин (Тульская область)|Алексин Тульская область|Алексин |Алексин 
223|Алматы (Москва)|Алматы Москва|Алматы Москва|Алматы Москва
224|Алтайский край|Алтайский край|Алтайский край|Алтайский край
225|Алтайский край с. Зимино|Алтайский край с. Зимин|Алтайский край с. Зимин|Алтайский край с. Зимин
226|Алтайский край, Ключевской район, село Северка, ул.Гагарина дом5.|Алтайский край Ключевской район село Северка ул.Гагарина дом5.|Алтайский край  село Северка ул.Гагарина дом5.|Алтайский край  село Северка ул.Гагарина дом5.
227|Алтайское|Алтайское|Алтайское|Алтайское
228|Алушта|Алушта|Алушта|Алушта
229|Альметьевск|Альметьевск|Альметьевск|Альметьевск
230|Альметьевск (Республика Татарстан)|Альметьевск Республика Татарстан|Альметьевск Республика Татарстан|Альметьевск Республика Татарстан
231|Альметьевск РТ|Альметьевск РТ|Альметьевск |Альметьевск 
232|Альмтеьевск|Альметьевск|Альметьевск|Альметьевск
233|Альфасити|Альфасити|Альфасити|Альфасити
234|Амурск|Амурск|Амурск|Амурск
235|Амурская область Архара|Амурская область Архара| Архара| Архара
236|Анадырь|Анадырь|Анадырь|Анадырь
237|Анапа|Анапа|Анапа|Анапа
238|Анапа (Краснодар)|Анапа Краснодар|Анапа Краснодар|Анапа Краснодар
239|Анапа (Краснодарский край)|Анапа Краснодарский край|Анапа Краснодарский край|Анапа Краснодарский край
240|Ангарск|Ангарск|Ангарск|Ангарск
241|Ангарск (Иркутск)|Ангарск Иркутск|Ангарск Иркутск|Ангарск Иркутск
242|Ангарск (Иркутская обл.)|Ангарск Иркутская обл.|Ангарск .|Ангарск .
243|Ангарск Иркутская обл.|Ангарск Иркутская обл.|Ангарск .|Ангарск .
244|Ангарск, Иркутская обл.|Ангарск Иркутская обл.|Ангарск .|Ангарск .
245|Ангарск, Иркутская область|Ангарск Иркутская область|Ангарск |Ангарск 
246|Ангарск,Иркутской обл.|АнгарскИркутской обл.|.|.
247|Ангарск/Иркутск|АнгарскИркутск|АнгарскИркутск|АнгарскИркутск
248|Андреаполь|Андреаполь|Андреаполь|Андреаполь
249|Андреевка|Андреевка|Андреевка|Андреевка
250|Анжеро-Судженск|Анжеро-Судженск|Анжеро-Судженск|Анжеро-Судженск
251|Анна|Анна|Анна|Анна
252|Апастово|Апастово|Апастово|Апастово
253|Апатиты|Апатиты|Апатиты|Апатиты
254|Апатиты (Мурманская обл.)|Апатиты Мурманская обл.|Апатиты .|Апатиты .
255|Апатиты, (Мурманская область)|Апатиты Мурманская область|Апатиты |Апатиты 
256|Апатиты, Мурманская обл.|Апатиты Мурманская обл.|Апатиты .|Апатиты .
257|Апрелевка|Апрелевка|Апрелевка|Апрелевка
258|Апрелевка (Москва и область)|Апрелевка Москва и область|Апрелевка Москва |Апрелевка Москва 
259|Апшеронск|Апшеронск|Апшеронск|Апшеронск
260|Апшеронск (Краснодарский край)|Апшеронск Краснодарский край|Апшеронск Краснодарский край|Апшеронск Краснодарский край
261|Арамиль (Екатеринбург)|Арамиль Екатеринбург|Арамиль Екатеринбург|Арамиль Екатеринбург
262|Арамиль (Свердловская обл.)|Арамиль Свердловская обл.|Арамиль .|Арамиль .
263|Арамиль-Екатеринбург|Арамиль-Екатеринбург|Арамиль-Екатеринбург|Арамиль-Екатеринбург
264|Ардатов (Республика Мордовия)|Ардатов Республика Мордовия|Ардатов Республика Мордовия|Ардатов Республика Мордовия
265|Арзамас|Арзамас|Арзамас|Арзамас
266|Арзгир|Арзгир|Арзгир|Арзгир
267|Аркадак|Аркадак|Аркадак|Аркадак
268|Армавир|Армавир|Армавир|Армавир
269|Армавир (Краснодарский край)|Армавир Краснодарский край|Армавир Краснодарский край|Армавир Краснодарский край
270|Армавир Краснодарский|Армавир Краснодарский|Армавир Краснодарский|Армавир Краснодарский
271|Армавир,Краснодарский край|АрмавирКраснодарский край|АрмавирКраснодарский край|АрмавирКраснодарский край
272|Армизонское|Армизонское|Армизонское|Армизонское
273|Армянск|Армянск|Армянск|Армянск
274|Арсеньев|Арсеньев|Арсеньев|Арсеньев
275|Артем|Артем|Артем|Артем
276|Артем (Приморский край)|Артем Приморский край|Артем Приморский край|Артем Приморский край
277|Артем Приморского|Артем Приморского|Артем Приморского|Артем Приморского
278|Артем, Приморский край|Артем Приморский край|Артем Приморский край|Артем Приморский край
279|Артемовский|Артемовский|Артемовский|Артемовский
280|Артём|Артём|Артём|Артём
281|Артёмовский Свердл.обл.|Артёмовский Свердл.обл.|Артёмовский Свердл..|Артёмовский Свердл..
282|Архангельск|Архангельск|Архангельск|Архангельск
283|Архангельск (Другие)|Архангельск Другие|Архангельск Другие|Архангельск Другие
284|Архангельск (Москва)|Архангельск Москва|Архангельск Москва|Архангельск Москва
285|Архангельская область|Архангельская область||
286|Архангельское|Архангельское|Архангельское|Архангельское
287|Архипо-Осиповка|Архипо-Осиповка|Архипо-Осиповка|Архипо-Осиповка
288|Асбест|Асбест|Асбест|Асбест
289|Асбест (Свердловская обл.)|Асбест Свердловская обл.|Асбест .|Асбест .
290|Асбест Свердловской обл.|Асбест Свердловской обл.|Асбест .|Асбест .
291|Асбест Свердловской области|Асбест Свердловской области|Асбест асти|Асбест асти
292|Асбест, Свердловской области|Асбест Свердловской области|Асбест асти|Асбест асти
293|Асино|Асино|Асино|Асино
294|Асино (Томская обл.)|Асино Томская обл.|Асино .|Асино .
295|Аскарово (Уфа)|Аскарово Уфа|Аскарово Уфа|Аскарово Уфа
296|Аскино|Аскино|Аскино|Аскино
297|Асрахань|Астрахань|Астрахань|Астрахань
298|Астана|Астана|Астана|Астана
299|Астана (Москва)|Астана Москва|Астана Москва|Астана Москва
300|Астраханская обл,Харабалинский р-он,сТамбовка|Астраханская обл Харабалинский р-он сТамбовка| Харабалинский р-он сТамбовка| Харабалинский р-он сТамбовка
301|Астраханская обл,г.Ахтубинск|Астраханская обл г.Ахтубинск| г.Ахтубинск| г.Ахтубинск
302|Астраханская обл. Черноярский район|Астраханская обл. Черноярский район|. |. 
303|Астраханская область, г Нариманов|Астраханская область г Нариманов| г Нариманов| г Нариманов
304|Астрахань|Астрахань|Астрахань|Астрахань
305|Астрахань (Астраханская область)|Астрахань Астраханская область|Астрахань |Астрахань 
306|Астрахань (Краснодар)|Астрахань Краснодар|Астрахань Краснодар|Астрахань Краснодар
307|Астрахань (Санкт-Петербург)|Астрахань Санкт-Петербург|Астрахань Санкт-Петербург|Астрахань Санкт-Петербург
308|Астрахань, Санкт-петербург|Астрахань Санкт-петербург|Астрахань Санкт-петербург|Астрахань Санкт-петербург
309|Астрахань.|Астрахань.|Астрахань.|Астрахань.
310|Астраххань|Астрахань|Астрахань|Астрахань
311|Аткарск|Аткарск|Аткарск|Аткарск
312|Атырау|Атырау|Атырау|Атырау
313|Атырау (Москва)|Атырау Москва|Атырау Москва|Атырау Москва
314|Атюрьево|Атюрьево|Атюрьево|Атюрьево
315|Афины|Афины|Афины|Афины
316|Афипский|Афипский|Афипский|Афипский
317|Ахтубинск|Ахтубинск|Ахтубинск|Ахтубинск
318|Ахтубинск (Астраханская обл.)|Ахтубинск Астраханская обл.|Ахтубинск .|Ахтубинск .
319|Ахтубинск, Астраханская обл.|Ахтубинск Астраханская обл.|Ахтубинск .|Ахтубинск .
320|Ачинск|Ачинск|Ачинск|Ачинск
321|Ачинск (Красноярский край)|Ачинск Красноярский край|Ачинск Красноярский край|Ачинск Красноярский край
322|Ачинск, Красноярск, Козулька|Ачинск Красноярск Козулька|Ачинск Красноярск Козулька|Ачинск Красноярск Козулька
323|Ачинск, Красноярский край|Ачинск Красноярский край|Ачинск Красноярский край|Ачинск Красноярский край
324|Аша|Аша|Аша|Аша
325|Аша Челябинская обл.|Аша Челябинская обл.|Аша .|Аша .
326|Аша Челябинской обл.|Аша Челябинской обл.|Аша .|Аша .
327|Ашхабад, Туркменистан|Ашхабад Туркменистан|Ашхабад Туркменистан|Ашхабад Туркменистан
328|БАЙКАЛЬСКИЙ БАНК|БАЙКАЛЬСКИЙ БАНК|Й |Й 
329|БАЛАШИХА|БАЛАШИХА||
330|БАРНАУЛ|БАРНАУЛ|Л|Л
331|БЕГОРОД|БЕЛГОРОД||
332|БЕЛГОРОД|БЕЛГОРОД||
333|БЕРЕЗНИКИ|БЕРЕЗНИКИ|И|И
334|БИЙСК|БИЙСК|К|К
335|БЛАГОВЕЩЕНСК|БЛАГОВЕЩЕНСК||
336|БОРЗЯ|БОРЗЯ|Я|Я
337|БОРИСОВКА|БОРИСОВКА|А|А
338|БОРИСОГЛЕБСК|БОРИСОГЛЕБСК||
339|БРЯНСК|БРЯНСК||
340|Бабаево|Бабаево|Бабаево|Бабаево
341|Бавлы|Бавлы|Бавлы|Бавлы
342|Баево|Баево|Баево|Баево
343|Байкальск|Байкальск|Байкальск|Байкальск
344|Байкальск (Иркутская обл.)|Байкальск Иркутская обл.|Байкальск .|Байкальск .
345|Байконур|Байконур|Байконур|Байконур
346|Баймак|Баймак|Баймак|Баймак
347|Бакал|Бакал|Бакал|Бакал
348|Баксан|Баксан|Баксан|Баксан
349|Баку (Москва)|Баку Москва|Баку Москва|Баку Москва
350|Балабаново|Балабаново|Балабаново|Балабаново
351|Балакирево|Балакирево|Балакирево|Балакирево
352|Балаково|Балаково|Балаково|Балаково
353|Балаково (Самара)|Балаково Самара|Балаково Самара|Балаково Самара
354|Балаково (Саратовская обл.)|Балаково Саратовская обл.|Балаково .|Балаково .
355|Балаково (Саратовская область)|Балаково Саратовская область|Балаково |Балаково 
356|Балаково Саратовской области|Балаково Саратовской области|Балаково асти|Балаково асти
357|Балаково саратовской области|Балаково саратовской области|Балаково асти|Балаково асти
358|Балаково, Саратовская область|Балаково Саратовская область|Балаково |Балаково 
359|Балаково,Саратовская область|Балаково Саратовская область|Балаково |Балаково 
360|Балахна|Балахна|Балахна|Балахна
361|Балахна, Нижегородская область|Балахна Нижегородская область|Балахна |Балахна 
362|Балахна, Нижегородской области|Балахна Нижегородской области|Балахна асти|Балахна асти
363|Балахта (Красноярский край)|Балахта Красноярский край|Балахта Красноярский край|Балахта Красноярский край
364|Балашиха|Балашиха|Балашиха|Балашиха
365|Балашиха (Москва)|Балашиха Москва|Балашиха Москва|Балашиха Москва
366|Балашиха (Московская обл.)|Балашиха Московская обл.|Балашиха .|Балашиха .
367|Балашиха (Московская обл.) (Москва и область)|Балашиха Московская обл. Москва и область|Балашиха . Москва |Балашиха . Москва 
368|Балашиха (Юбилейный)|Балашиха Юбилейный|Балашиха Юбилейный|Балашиха Юбилейный
369|Балашиха и Реутов|Балашиха и Реутов|Балашиха и Реутов|Балашиха и Реутов
370|Балашиха, Московской области|Балашиха Московской области|Балашиха асти|Балашиха асти
371|Балашов|Балашов|Балашов|Балашов
372|Балашов (Москва)|Балашов Москва|Балашов Москва|Балашов Москва
373|Балашов (Саратовская область)|Балашов Саратовская область|Балашов |Балашов 
374|Балгород (Москва)|Балгород Москва|Балгород Москва|Балгород Москва
375|Балезино|Балезино|Балезино|Балезино
376|Балей|Балей|Балей|Балей
377|Бали|Бали|Бали|Бали
378|Балтийск|Балтийск|Балтийск|Балтийск
379|Балтийск (Калининградская обл.)|Балтийск Калининградская обл.|Балтийск .|Балтийск .
380|Балтимор|Балтимор|Балтимор|Балтимор
381|Бангкок|Бангкок|Бангкок|Бангкок
382|Банковск|Банковск|Банковск|Банковск
383|Барабинск|Барабинск|Барабинск|Барабинск
384|Барановичи|Барановичи|Барановичи|Барановичи
385|Барнаул|Барнаул|Барнаул|Барнаул
386|Барнаул (Алтайский край)|Барнаул Алтайский край|Барнаул Алтайский край|Барнаул Алтайский край
387|Барнаул (Москва)|Барнаул Москва|Барнаул Москва|Барнаул Москва
388|Барнаул (Новосибирск)|Барнаул Новосибирск|Барнаул Новосибирск|Барнаул Новосибирск
389|Барнаул, Алтайский край|Барнаул Алтайский край|Барнаул Алтайский край|Барнаул Алтайский край
390|Барнаул,Алтайский край|БарнаулАлтайский край|БарнаулАлтайский край|БарнаулАлтайский край
391|Барнаул/Любляна (Москва)|Барнаул  Любляна Москва|Барнаул  Любляна Москва|Барнаул  Любляна Москва
392|Барнаул/Москва|Барнаул  Москва|Барнаул  Москва|Барнаул  Москва
393|Барселона|Барселона|Барселона|Барселона
394|Барыш|Барыш|Барыш|Барыш
395|Батайск|Батайск|Батайск|Батайск
396|Батайск (Ростов-на-Дону)|Батайск Ростов-на-Дону|Батайск Ростов-на-Дону|Батайск Ростов-на-Дону
397|Батайск (Ростовская обл.)|Батайск Ростовская обл.|Батайск .|Батайск .
398|Батайск (Ростовская область)|Батайск Ростовская область|Батайск |Батайск 
399|Бахтемир|Бахтемир|Бахтемир|Бахтемир
400|Башкирия г.Салават|Башкирия г.Салават|Башкирия г.Салават|Башкирия г.Салават
401|Башкортостан|Башкортостан|Башкортостан|Башкортостан
402|Башкортостан салаватский р-н с.Малояз|Башкортостан салаватский р-н с.Малояз|Башкортостан салаватский  с.Малояз|Башкортостан салаватский  с.Малояз
403|Башкортостан, Ермекеевский, Нижнеулу-Елга|Башкортостан Ермекеевский Нижнеулу-Елга|Башкортостан Ермекеевский Нижнеулу-Елга|Башкортостан Ермекеевский Нижнеулу-Елга
404|Башкортостан, Стерлибашевский р-н, с. Куганакбаш|Башкортостан Стерлибашевский р-н с. Куганакбаш|Башкортостан Стерлибашевский  с. Куганакбаш|Башкортостан Стерлибашевский  с. Куганакбаш
405|Башкортостан, Хайбуллинский район, село Байгускарово|Башкортостан Хайбуллинский район село Байгускарово|Башкортостан  село Байгускарово|Башкортостан  село Байгускарово
406|Башмаково Пензенской области|Башмаково Пензенской области|Башмаково асти|Башмаково асти
