;Factor_1;Factor_2;Factor_3;Factor_6;pH;sulphates;white
79;7.0815399999999995;1.8295424999999996;98509.20839999999;8.67738;3.11;0.45;1
80;7.08225;1.8244864;93034.032;8.67825;3.12;0.46;1
81;6.780959999999999;0.78275;184856.34888;9.672839999999999;3.22;0.48;1
82;7.0815399999999995;1.8295424999999996;98509.20839999999;8.67738;3.11;0.45;1
83;7.08225;1.8244864;93034.032;8.67825;3.12;0.46;1
84;7.18128;1.6864848000000001;94134.612;8.67738;3.09;0.44;1
85;6.07377;1.3824027000000003;117953.11125;8.9613;3.12;0.47;1
86;6.831;0.3769920000000001;10757.735999999999;12.474;3.26;0.4;1
87;6.830310000000001;0.32044320000000004;11631.72096;12.47274;3.25;0.41;1
88;7.437;0.32204800000000006;12723.81456;11.403400000000001;3.21;0.44;1
89;7.07799;0.796224;183940.01280000003;9.171479999999999;3.04;0.42;1
90;5.9874;1.6928736000000002;67655.22504;8.78152;3.14;0.5;1
91;8.525179999999999;0.259488;1427.472;11.30082;2.95;0.36;1
92;5.9874;1.6928736000000002;67655.22504;8.78152;3.14;0.5;1
93;7.381500000000001;1.0655999999999999;134447.04;9.07725;3.0;0.44;1
94;7.07302;0.33592320000000003;99154.57536;9.36428;3.4;0.41;1
95;5.982;0.4132799999999999;108814.574;9.3718;3.34;0.39;1
96;7.5;1.22366;141371.99999999997;9.0;2.99;0.46;1
97;7.381500000000001;1.0655999999999999;134447.04;9.07725;3.0;0.44;1
98;7.28102;0.2312544;53227.647359999995;9.176079999999999;3.2;0.35;1
99;7.07302;0.33592320000000003;99154.57536;9.36428;3.4;0.41;1
100;7.0929;0.55062;169120.71000000002;9.090900000000001;3.16;0.59;1
101;7.0929;0.55062;169120.71000000002;9.090900000000001;3.16;0.59;1
102;6.84963;0.8812188000000001;8929.038690000001;10.224810000000002;3.27;0.6;1
103;6.47335;1.2269988;88308.4448;8.76392;2.89;0.39;1
104;7.2;1.6468920000000002;215156.25;8.9;3.04;0.52;1
105;7.18704;1.6925999999999997;176040.55560000002;9.18344;3.01;0.47;1
106;6.67856;1.0245900000000001;39891.935999999994;9.070879999999999;3.22;0.51;1
107;6.67856;1.0245900000000001;39891.935999999994;9.070879999999999;3.22;0.51;1
108;5.4670000000000005;0.0;1228.584;9.6418;3.63;0.4;1
109;5.9483999999999995;0.43620719999999996;11696.0415;11.202820000000001;3.31;0.44;1
110;6.9376999999999995;0.16660000000000003;2291.4232;11.694980000000001;3.19;0.42;1
111;7.18704;1.6925999999999997;176040.55560000002;9.18344;3.01;0.47;1
112;7.28686;1.8063359999999997;148320.14232;9.18344;3.04;0.5;1
113;5.86106;0.057628799999999994;10345.168259999999;10.132679999999999;3.22;0.51;1
114;7.78752;0.5723136;70598.06207999999;8.78592;3.01;0.54;1
115;7.36448;0.3833584;27684.324319999996;9.65344;3.29;0.34;1
116;6.86688;0.4504976;10170.944;9.05632;3.29;0.36;1
117;6.3539200000000005;0.8881496;10039.1936;9.72944;3.21;0.36;1
118;6.64104;0.2543112;9822.69288;10.9032;3.27;0.48;1
119;7.355600000000001;0.37297260000000004;25424.532000000003;10.437000000000001;3.14;0.42;1
120;6.4727;0.5924351999999999;73743.37152;9.65926;3.45;0.54;1
121;6.05364;1.3231680000000001;23377.371359999997;10.81716;3.3;0.57;1
122;6.05364;1.421952;22679.11872;10.81716;3.31;0.57;1
123;5.665800000000001;0.07410000000000001;4124.7024;10.5364;3.39;0.37;1
124;6.4727;0.5924351999999999;73743.37152;9.65926;3.45;0.54;1
125;6.48635;1.5568600000000001;185877.73531;8.9811;3.23;0.57;1
126;6.588119999999999;0.426384;136392.45088000002;9.18344;3.24;0.51;1
127;6.77348;0.4099788000000001;90083.79765;8.86529;3.19;0.52;1
128;6.68593;0.5393628000000001;123393.52828;9.579839999999999;3.26;0.56;1
129;8.1344;0.30056400000000005;5185.3823999999995;10.6144;3.12;0.38;1
130;7.08225;1.7291025;79548.13125;8.67825;3.16;0.44;1
131;6.74356;0.22982400000000003;5426.5824;10.710360000000001;3.15;0.54;1
132;6.25401;0.365211;3363.2676;10.125539999999999;3.3;0.43;1
133;7.08225;1.7291025;79548.13125;8.67825;3.16;0.44;1
134;7.8368;0.350532;4840.1664;10.713600000000001;3.21;0.54;1
135;8.45495;0.30686040000000003;10162.650959999999;9.64859;3.18;0.53;1
136;8.03601;0.2575200000000001;3279.8826;11.111519999999999;3.12;0.54;1
137;6.24015;0.430236;4595.7219000000005;10.79645;3.0;0.39;1
138;5.55408;0.3193344;12363.38208;10.01718;3.28;0.37;1
139;6.36864;0.46864579999999995;7528.9266;8.9559;3.38;0.36;1
140;6.24771;0.30518400000000007;6933.966399999999;11.900400000000001;3.38;0.58;1
141;6.858600000000001;0.46980000000000005;10873.1672;9.343600000000002;2.99;0.38;1
142;7.84786;0.5464096;55566.8224;11.4241;3.12;0.32;1
143;7.57568;0.61479;79610.4288;9.86832;3.14;0.43;1
144;6.858600000000001;0.46980000000000005;10873.1672;9.343600000000002;2.99;0.38;1
145;7.14168;0.3436128;4733.74356;10.315760000000001;3.14;0.45;1
146;8.17212;0.3426080000000001;6816.744000000001;9.667019999999999;3.06;0.84;1
147;7.384460000000001;1.3172544;132776.5824;8.881310000000001;2.89;0.42;1
148;7.384460000000001;1.3172544;132776.5824;8.881310000000001;2.89;0.42;1
149;6.03778;0.3428352;6995.9064;12.273520000000001;3.29;0.42;1
150;5.14488;0.07539840000000002;7087.8637199999985;11.971739999999999;3.36;0.33;1
151;5.14488;0.07539840000000002;7087.8637199999985;11.971739999999999;3.36;0.33;1
152;6.03778;0.3428352;6995.9064;12.273520000000001;3.29;0.42;1
153;6.3872;1.0773840000000001;62124.003;9.0818;2.98;0.4;1
154;6.25716;0.44982;5673.1584;10.52792;3.28;0.39;1
155;7.384460000000001;1.3172544;132776.5824;8.881310000000001;2.89;0.42;1
156;6.6799;0.861;171356.384;9.4715;3.15;0.5;1
157;6.9803999999999995;0.7474356;165208.1184;9.77256;3.16;0.49;1
158;8.37816;1.1744352000000002;66668.31053999999;9.57504;3.14;0.59;1
159;6.63032;0.2758896;5818.848;12.468960000000001;3.08;0.44;1
160;7.476;0.7466195;26942.5072;9.270240000000001;3.08;0.54;1
161;9.758840000000001;0.7539839999999999;5394.7465;9.958;2.87;0.29;1
162;7.03326;1.211364;5731.116300000001;12.58062;3.12;0.54;1
163;7.83443;0.36936;2427.6816;10.9087;3.13;0.39;1
164;7.525519999999999;0.65712;316.864;11.28828;3.03;0.39;1
165;6.24834;0.467324;18186.140699999996;11.4057;3.35;0.33;1
166;6.84963;0.5556800000000001;56211.637500000004;11.316780000000001;3.11;0.27;1
167;7.1352;0.4301440000000001;6241.813499999999;12.4866;3.03;0.41;1
168;5.8834800000000005;0.6334200000000001;124650.99720000001;9.37368;3.28;0.39;1
169;5.9586;0.303912;1158.3518399999998;8.63997;3.11;0.35;1
170;6.368;0.68992;39489.56;9.154;3.19;0.68;1
171;6.36864;0.8494992000000001;39767.1813;9.254430000000001;3.19;0.66;1
172;7.0545599999999995;0.494649;13309.86816;9.141119999999999;3.09;0.43;1
173;6.88551;1.2258000000000002;202964.8768;9.579839999999999;3.18;0.58;1
174;6.779599999999999;1.4149407999999999;171605.2352;9.2721;3.02;0.63;1
175;6.780959999999999;1.606136;180136.2024;9.27396;3.02;0.63;1
176;6.66918;0.6533759999999998;76107.88584;9.85446;3.12;0.61;1
177;5.85516;0.312018;20832.063840000003;10.9164;3.15;0.5;1
178;6.73608;0.687463;10667.969519999999;12.58062;3.26;0.57;1
179;6.4753;0.7738080000000002;96023.718;8.86618;3.09;0.54;1
180;6.57492;0.8602048000000002;98267.65849999999;8.86618;3.09;0.55;1
181;6.75104;0.557928;27353.6256;11.31792;3.02;0.37;1
182;6.561719999999999;0.350625;21549.284999999996;9.544319999999999;3.36;0.42;1
183;6.3628800000000005;4.619120000000001;48586.554;9.04722;3.02;0.41;1
184;6.3628800000000005;4.7871;47602.296;9.04722;3.02;0.39;1
185;6.3628800000000005;4.600107599999999;49123.422;9.04722;3.01;0.38;1
186;6.77348;0.6943872;89785.26648;8.86529;3.13;0.47;1
187;7.0858;0.78336;138686.87039999999;8.7824;3.1;0.49;1
188;6.77348;0.6943872;89785.26648;8.86529;3.13;0.47;1
189;6.78912;0.6742008000000002;173280.3072;9.285120000000001;3.15;0.5;1
190;7.0858;0.78336;138686.87039999999;8.7824;3.1;0.49;1
191;6.88137;2.03904;164659.81487999996;9.574079999999999;3.2;0.5;1
192;6.76532;0.40275040000000006;72270.92886000001;11.9388;3.33;0.53;1
193;5.75592;0.592116;9367.46208;10.12248;3.28;0.5;1
194;6.38208;0.6747299999999999;79642.3752;8.775360000000001;3.15;0.43;1
195;6.9706;0.290304;39573.490320000004;9.16136;3.21;0.34;1
196;6.75784;0.5091239999999999;2525.2458;10.136759999999999;3.32;0.74;1
197;6.0573;1.01184;3494.367;9.4335;3.22;0.77;1
198;5.566400000000001;0.13328;7867.7088;10.437000000000001;3.31;0.34;1
199;6.74424;0.28851119999999997;5394.4002;11.10816;3.32;0.59;1
200;6.9706;0.290304;39573.490320000004;9.16136;3.21;0.34;1
201;6.6624799999999995;0.23456939999999998;19932.350239999996;9.645679999999999;3.44;0.37;1
202;6.14544;0.196875;5099.724;11.00232;3.3;0.44;1
203;5.77738;0.4173312;76612.04319999999;9.36334;3.31;0.38;1
204;7.45425;0.5738688000000002;51344.874;10.9329;3.03;0.33;1
205;5.77738;0.4173312;76612.04319999999;9.36334;3.31;0.38;1
206;5.69373;0.4937856000000001;175157.115;9.389660000000001;3.31;0.44;1
207;7.4535;0.4799088000000001;48160.5418;10.9318;3.04;0.32;1
208;7.45425;0.5738688000000002;51344.874;10.9329;3.03;0.33;1
209;7.17912;1.7319540000000004;53765.6262;9.07361;3.0;0.55;1
210;6.14544;0.196875;5099.724;11.00232;3.3;0.44;1
211;6.4584;0.3529439999999999;3777.2697600000006;9.04176;3.42;0.39;1
212;7.09858;0.6563279999999998;100638.8682;8.69826;3.32;0.39;1
213;6.360320000000001;0.52224;19557.984;9.639859999999999;3.5;0.5;1
214;7.07799;0.8921599999999998;184332.39264;9.07179;3.17;0.52;1
215;6.360320000000001;0.52224;19557.984;9.639859999999999;3.5;0.5;1
216;7.09858;0.6563279999999998;100638.8682;8.69826;3.32;0.39;1
217;6.780959999999999;0.4507648;35712.12528;8.87508;3.37;0.46;1
218;8.280080000000002;0.890848;57363.59616;9.57696;3.34;0.51;1
219;8.18032;0.8541936000000001;79306.80575999999;9.4772;3.31;0.51;1
220;7.184880000000001;0.9834248000000001;152260.5799;8.9811;3.09;0.44;1
221;7.184880000000001;0.9834248000000001;152260.5799;8.9811;3.09;0.44;1
222;7.184880000000001;0.9834248000000001;152260.5799;8.9811;3.09;0.44;1
223;7.184880000000001;0.9834248000000001;152260.5799;8.9811;3.09;0.44;1
224;6.780959999999999;1.6180736000000004;157087.71936;9.57312;3.27;0.5;1
225;6.9426000000000005;0.6810960000000001;6664.896;11.00898;3.34;0.41;1
226;6.18884;0.32555249999999997;69103.98852;9.58272;3.48;0.64;1
227;7.2890500000000005;0.72496;132047.73085;8.68695;3.2;0.46;1
228;7.65688;0.22487400000000002;16055.5824;10.341759999999999;3.13;0.5;1
229;7.031129999999999;0.20201999999999998;5466.456;11.28942;3.15;0.38;1
230;6.75512;0.8379912;37800.633284999996;9.635979999999998;3.3;0.58;1
231;6.882750000000001;1.367744;63456.96000000001;8.67825;3.14;0.46;1
232;6.05303;0.6143688;9903.154;11.21299;3.37;0.79;1
233;6.732;0.236439;7513.506;12.474;3.16;0.61;1
234;5.7449;0.128898;1281.3107999999997;10.79645;3.25;0.36;1
235;5.5468;0.112632;1264.6703999999997;10.79645;3.25;0.37;1
236;5.87876;0.6201636;36484.1824;9.963999999999999;3.72;0.7;1
237;8.483;0.7959588000000001;130585.70519999998;9.7804;3.02;0.5;1
238;6.882750000000001;1.367744;63456.96000000001;8.67825;3.14;0.46;1
239;5.74954;0.3338016;1890.90475;11.598209999999998;3.53;0.43;1
240;5.76056;0.7985952000000001;8709.3708;9.23676;3.21;0.52;1
241;6.65645;0.5962320000000001;7229.202750000001;9.5376;3.32;0.58;1
242;6.25401;0.35647500000000004;4390.91064;10.9197;3.27;0.41;1
243;6.25401;0.35647500000000004;4390.91064;10.9197;3.27;0.41;1
244;6.34368;0.3387072;4842.210239999999;11.69616;3.32;0.5;1
245;5.744319999999999;0.37962000000000007;200.55599999999998;11.29056;3.28;0.34;1
246;6.85791;0.208656;20867.12928;10.13778;3.32;0.42;1
247;6.897240000000001;0.7781279999999999;109187.50751999998;8.89644;2.93;0.47;1
248;6.86136;0.3830400000000001;11619.563999999998;10.142879999999998;3.17;0.33;1
249;7.18344;1.20582;206868.70512;9.57792;3.08;0.59;1
250;6.14544;0.5330639999999999;4370.00256;10.50672;3.1;0.48;1
251;6.897240000000001;0.7781279999999999;109187.50751999998;8.89644;2.93;0.47;1
252;6.875850000000001;0.7937280000000001;47640.67200000001;9.1678;3.25;0.51;1
253;5.36976;0.27319950000000004;36836.5536;9.645679999999999;3.34;0.57;1
254;6.875850000000001;0.7937280000000001;47640.67200000001;9.1678;3.25;0.51;1
255;5.1708799999999995;0.27165600000000006;33766.8408;9.645679999999999;3.33;0.58;1
256;5.78376;0.49061999999999995;85068.33984;9.27396;3.29;0.38;1
257;6.566339999999999;1.219914;18723.0231;8.9541;3.24;0.38;1
258;6.9762;1.6856423999999999;147221.93772;9.4677;3.05;0.61;1
259;6.56964;0.6055946;76356.23814;9.75492;3.14;0.57;1
260;6.66918;0.5989280000000001;75182.56199999999;9.75492;3.14;0.58;1
261;7.634550000000001;0.26208000000000004;588.951;10.5099;2.89;0.5;1
262;6.74492;0.3207424000000001;1116.4826400000002;10.51414;3.05;0.47;1
263;6.9412;0.55566;8319.0282;12.29584;3.26;0.68;1
264;6.93;0.3290112;6830.207999999999;12.474;3.19;0.38;1
265;6.04449;0.7993908;20333.268;12.188070000000002;3.3;0.6;1
266;6.75784;1.5379715999999999;46862.24148;10.4349;3.08;0.65;1
267;6.68794;1.079568;155656.91232;9.28326;3.19;0.49;1
268;7.09148;0.91476;140094.88416;8.78944;3.12;0.49;1
269;7.271529999999999;0.8063999999999999;60674.44320000001;8.76568;3.08;0.47;1
270;6.4857000000000005;0.930468;151798.3074;9.678659999999999;3.22;0.51;1
271;7.184880000000001;0.9988992;133313.05344;8.9811;2.98;0.48;1
272;7.184880000000001;0.9988992;133313.05344;8.9811;2.98;0.48;1
273;7.184880000000001;0.9988992;133313.05344;8.9811;2.98;0.48;1
274;7.184880000000001;0.9988992;133313.05344;8.9811;2.98;0.48;1
275;5.8675500000000005;0.2955075;47384.9415;10.442250000000001;3.52;0.46;1
276;7.4;1.5135120000000002;204633.00000000003;9.1;2.96;0.44;1
277;6.1733400000000005;0.3965192;29670.46602;9.75786;3.44;0.64;1
278;9.070879999999999;2.6930904;9869.117440000002;8.4728;3.23;0.38;1
279;6.258419999999999;0.7172550000000002;7092.875999999998;9.33796;3.37;0.54;1
280;8.280080000000002;2.0761649999999996;58974.32112000001;9.37744;3.09;0.57;1
281;7.15104;0.6700957999999999;57872.96943999999;11.12384;3.19;0.6;1
282;7.4775;0.5023568;106915.289;9.97;3.17;0.45;1
283;6.64841;0.44591;6864.13602;10.220690000000001;3.15;0.45;1
284;6.04754;0.0;4968.103679999999;10.70712;3.27;0.67;1
285;8.233600000000001;0.25899999999999995;792.8064;10.416;3.13;0.38;1
286;6.04754;0.0;4968.103679999999;10.70712;3.27;0.67;1
287;5.9483999999999995;0.5627159999999999;9093.91392;11.004539999999999;3.32;0.43;1
288;7.26277;0.9142344;45212.63356;9.84951;3.2;0.41;1
289;7.26277;0.9142344;45212.63356;9.84951;3.2;0.41;1
290;7.164;0.9756528;43465.58;9.8505;3.2;0.41;1
291;7.2635;0.924288;45372.199;9.8505;3.2;0.41;1
292;6.15474;0.42981840000000016;19554.2046;10.32408;3.2;0.42;1
293;6.15536;0.4413656000000001;25390.26432;10.32512;3.21;0.41;1
294;6.04937;0.34020000000000006;3332.112;11.40455;3.4;0.71;1
295;4.959;0.40409600000000007;47251.3356;12.3975;3.53;0.51;1
296;7.764119999999999;0.6414449999999999;20304.26874;9.953999999999999;3.36;0.45;1
297;5.66637;0.4768848;56387.53902;9.940999999999999;3.29;0.63;1
298;5.7657799999999995;0.4769520000000001;54784.851;9.940999999999999;3.29;0.62;1
299;6.75512;2.816352;5828.675160000001;9.03994;3.09;0.44;1
300;6.75036;0.35309;21256.88364;10.52262;3.21;0.38;1
301;6.55908;0.35153999999999996;37189.9836;10.4349;3.19;0.37;1
302;5.86047;0.5625899999999999;19704.042435;11.42295;3.52;0.43;1
303;6.05974;0.08625000000000001;2261.9718;10.033339999999999;3.54;0.59;1
304;5.9562;0.06395999999999999;1064.67075;10.224810000000002;3.61;0.61;1
305;6.55908;0.35153999999999996;37189.9836;10.4349;3.19;0.37;1
306;6.75036;0.35309;21256.88364;10.52262;3.21;0.38;1
307;6.76328;0.5232304000000001;44352.695100000004;10.34384;3.16;0.36;1
308;8.241900000000001;1.9910501999999999;4522.122;11.3202;3.02;0.55;1
309;7.8810400000000005;0.9210240000000001;124052.75712000002;9.976;2.96;0.6;1
310;6.36416;0.4361214;33146.633519999996;9.943999999999999;3.19;0.65;1
311;6.4857000000000005;0.8026200000000001;164801.63700000002;9.57888;3.23;0.5;1
312;7.1424;0.26346600000000003;3617.328;10.3168;3.17;0.51;1
313;6.34368;0.33936;16338.147839999996;12.389999999999999;3.36;0.6;1
314;6.75036;0.35251200000000005;22809.2679;10.52262;3.2;0.39;1
315;6.24078;0.20720700000000003;2596.1644800000004;11.68908;3.28;0.4;1
316;6.4700999999999995;0.4811408000000001;39319.295399999995;9.75492;3.11;0.44;1
317;5.55688;0.16764800000000002;5429.8656;10.71684;3.25;0.38;1
318;6.24078;0.20720700000000003;2596.1644800000004;11.68908;3.28;0.4;1
319;6.2433;0.2869020000000001;2341.2375;11.0992;3.32;0.42;1
320;5.78376;0.557685;114682.986;9.27396;3.28;0.42;1
321;5.8675500000000005;0.6794320000000001;2156.4738;10.3428;3.45;0.53;1
322;6.556439999999999;0.43526700000000007;10295.1009;10.132679999999999;3.43;0.85;1
323;7.37336;0.59211;32105.801519999997;8.9676;3.19;0.55;1
324;7.9584;0.5238432;3272.3946;9.948;3.2;0.54;1
325;6.37568;0.672672;40585.188;9.06542;3.18;0.47;1
326;5.3627400000000005;1.1119824;19734.8832;9.931;3.29;0.76;1
327;5.3622000000000005;1.027702;20301.885;9.93;3.29;0.75;1
328;7.05882;0.3134175;19770.462359999998;9.544319999999999;3.28;0.4;1
329;5.54736;0.071672;1751.3808000000001;11.09472;3.36;0.51;1
330;6.696650000000001;0.676172;181259.325;8.7956;3.2;0.44;1
331;7.7844;0.5080608000000001;60860.43519999999;9.98;3.15;0.5;1
332;7.5771999999999995;0.5659470000000001;85668.62079999999;9.97;3.15;0.47;1
333;6.245819999999999;0.2775168;14286.27228;11.30196;3.27;0.74;1
334;7.2416;0.692208;30007.603199999998;11.8048;3.03;0.3;1
335;5.4582;0.9133439999999999;8574.336;9.52704;3.14;0.51;1
336;7.2416;0.692208;30007.603199999998;11.8048;3.03;0.3;1
337;5.76346;1.93452;41241.5311;9.53952;3.25;0.57;1
338;7.28394;0.9794862000000001;130813.97472000003;8.9802;2.89;0.38;1
339;7.28394;0.9794862000000001;130813.97472000003;8.9802;2.89;0.38;1
340;6.05547;1.0038600000000002;4429.030320000001;9.43065;3.15;0.78;1
341;9.940000000000001;0.5928000000000001;4018.9408000000003;10.337600000000002;3.0;0.42;1
342;6.855150000000001;0.5255040000000001;32326.60235;10.5311;3.2;0.59;1
343;6.37952;0.5847551999999999;129928.09536;10.167359999999999;3.28;0.5;1
344;7.058109999999999;0.23608200000000004;2404.92672;8.84749;3.15;0.43;1
345;6.76056;0.28575;26767.840799999998;9.64374;3.4;0.39;1
346;7.28394;0.9794862000000001;130813.97472000003;8.9802;2.89;0.38;1
347;6.74764;0.24153600000000003;4190.28444;11.31222;3.49;0.42;1
348;5.9472;0.2632448;11368.5684;12.19176;3.4;0.71;1
349;5.953799999999999;0.6185322000000001;8513.934;10.71684;3.49;0.62;1
350;6.84963;0.5435892;5729.8644;9.331380000000001;3.12;0.45;1
351;7.058109999999999;0.432432;23261.94;11.531559999999999;3.17;0.29;1
352;6.84963;0.5435892;5729.8644;9.331380000000001;3.12;0.45;1
353;7.64687;1.2141024;14636.705039999999;10.52686;3.17;0.64;1
354;6.556439999999999;1.6837344000000003;2756.08896;9.934;3.34;0.56;1
355;7.15392;0.5213808000000001;10659.3408;9.141119999999999;3.1;0.51;1
356;5.04543;0.1744578;2535.77376;12.366249999999999;3.51;0.38;1
357;5.04543;0.1744578;2535.77376;12.366249999999999;3.51;0.38;1
358;6.34816;0.3821804000000001;2124.6498;10.315760000000001;3.32;0.51;1
359;7.24452;0.38808;2859.3028799999997;9.924;3.15;0.46;1
360;5.658390000000001;1.2152;6800.987700000001;9.927;3.22;0.64;1
361;6.34816;0.3821804000000001;2124.6498;10.315760000000001;3.32;0.51;1
362;7.24452;0.38808;2859.3028799999997;9.924;3.15;0.46;1
363;7.182;0.5994352000000001;107131.5;8.977500000000001;3.1;0.52;1
364;7.47675;0.784686;39065.719679999995;9.171479999999999;3.12;0.53;1
365;7.15392;0.5213808000000001;10659.3408;9.141119999999999;3.1;0.51;1
366;5.946;0.47385000000000005;7928.0;11.198300000000001;3.38;0.39;1
367;5.04543;0.1744578;2535.77376;12.366249999999999;3.51;0.38;1
368;4.953;0.28464800000000007;4101.084;10.698480000000002;3.48;0.39;1
