|city_clear|ru_names
97|Orel|Орел
98|Penza|Пенза
99|Perm|Пермь
100|Podolsk|Подольск
101|Pskov|Псков
102|Rfpfym|Казань
103|Rotherham|Ротерхам
104|Ryazan|Рязанский
105|SPB|Санкт-Петербург 
106|SPb|Санкт-Петербург 
107|Safonovo|Сафоново
108|Saint Petersburg|Санкт-Петербург
109|Saint-Petersburg|Санкт-Петербург
110|Salou Tarragona (Москва)|Салоу Таррагона Москва
111|Samara|Самара
112|Sankt-Peterbourg|Санкт-Петербург
113|Sankt-Peterburg|Санкт-Петербург
114|Saratov|Саратов
115|Sochi|Сочи
116|Spb|Санкт-Петербург 
117|St Petersburg|Санкт-Петербург
118|St.Petersburg|Санкт-Петербург
119|Stavropol|Ставропольский
120|Sydney|Сидней
121|Tomsk|Томский
122|Trondheim, Norway|Трондхейм Норвегия
123|UFA| Уфа
124|Vjcrdf|Москва
125|Vlg|Вологда 
126|Volgograd|Волгоград
127|Voronezh|Воронежский
128|Waterbury|Waterbury
129|Winnipeg, Canada|Виннипег Канада
130|Zarechniy|Заречный
131|Zhukovsky|Жуковский
132|\бобруйск :)|\ Бобруйск
133|barnaul|Барнаул
134|c.Коса| Коса
135|c.Новодугино| Новодугино
136|chelyabinsk|Челябинск
137|cтарый оскол|Старый Оскол
138|issy-les-moulineaux|Исси-Ле-Мулино
139|kazan|Казань
140|misk|Misk
141|moscow|Москва
142|moscow city|Москва Сити
143|moskva|Москва
144|msk|Ммс
145|n/a (Москва)|Москва
146|omsk|Омск
147|saratov|Саратов
148|smolensk|Смоленск
149|volgograd|Волгоград
150|Ё-бург|Ё-Бург
151|А-вск|А-Вскоре
152|АБАТСКОЕ|Абатское
153|АКСАЙ|Аксай
154|АЛЕКСАНДРОВ|Александров
155|АНАПА|Анапа
156|АНГАРСК|Ангарск
157|АРМАВИР|Армавир
158|АРТЕМ|Артем
159|АСТРАХАНЬ|Астрахань
160|АФИНЫ|Афины
161|Абага (Амгинский р-н)|Абага
162|Абаза|Абаза
163|Абакан|Абакан
164|Абакан (Абакан)|Абакан Абакан
165|Абакан (Москва)|Абакан Москва
166|Абакан (Республика Хакасия)|Абакан 
167|Абакан Республика Хакасия|Абакан 
168|Абашево|Абашево
169|Абдулино|Абдулино
170|Абзелиловский р-н, с.Аскарово|С.Аскарово
171|Абинск|Абинск
172|Абинск (Краснодарский край)|Абинск 
173|Абинский район поселок Ахтырский|Поселок Ахтырский
174|Абрамово|Абрамово
175|Аван Хабаровский край Вяземсий район (Хабаровск)|Аван Хабаровск 
176|Авсюнино|Авсюнино
177|Агалатово|Агалатово
178|Агаповка|Агаповка
179|Агвали|Агвали
180|Агидель|Агидель
181|Агинское|Агинское
182|Агинское (Забайкальский край)|Агинское 
183|Агрыз|Агрыз
184|Адлер|Адлер
185|Адлер (Санкт-Петербург)|Адлер Санкт-Петербург
186|Адлер (Сочи)|Адлер Сочи
187|Азнакаево|Азнакаево
188|Азнакаевский район п.г.т. Актюбинский| П. Т. Актюбинский
189|Азов|Азов
190|Азов (Ростовская обл.)|Азов 
191|Азов, Ростовская область|Азов 
192|Айхал|Айхал
193|Академгородок|Академгородок
194|Аксай|Аксай
195|Аксай (Краснодар)|Аксай Краснодар 
196|Аксай (Ростовская область)|Аксай 
197|Аксай РО|Аксай Ростовская
198|Аксай, Ростовская обл.|Аксай 
199|Аксаково|Аксаково
200|Аксеново|Аксеново
201|Актау|Актау
202|Акъяр (Хайбуллинский р-н)|Акъяр 
203|Алабота|Алабота
204|Алапаевск|Алапаевск
205|Алатырь|Алатырь
206|Алдан|Алдан
207|Алейск|Алейск
208|Александро-Невский|Александро-Невский
209|Александров|Александров
210|Александров Владимирская область (Владимир)|Александров Владимир 
211|Александров Владимирской области|Александров Асти
212|Александров, Владимирская область|Александров 
213|Александровск-Сахалинский|Александровск-Сахалинский
214|Александровское отд1861 Ставропольского края СБ РФ|Александровское Отд Ставропольского Края Сб Рф
215|Алексеевка|Алексеевка
216|Алексеевка Белгородская область|Алексеевка 
217|Алексеевка,Белгородская область|Алексеевка 
218|Алексеевская|Алексеевская
219|Алексеевское|Алексеевское
220|Алексин|Алексин
221|Алексин (Тульская обл.)|Алексин 
222|Алексин (Тульская область)|Алексин 
223|Алматы (Москва)|Алматы Москва
224|Алтайский край| 
225|Алтайский край с. Зимино| Зимино
226|Алтайский край, Ключевской район, село Северка, ул.Гагарина дом5.| Село Северка Гагарина Дом 5.
227|Алтайское|Алтайское
228|Алушта|Алушта
229|Альметьевск|Альметьевск
230|Альметьевск (Республика Татарстан)|Альметьевск 
231|Альметьевск РТ|Альметьевск Рт
232|Альмтеьевск|Альметьевск
233|Альфасити|Альфа Сити
234|Амурск|Амурск
235|Амурская область Архара| Архара
236|Анадырь|Анадырь
237|Анапа|Анапа
238|Анапа (Краснодар)|Анапа Краснодар 
239|Анапа (Краснодарский край)|Анапа 
240|Ангарск|Ангарск
241|Ангарск (Иркутск)|Ангарск Иркутск
242|Ангарск (Иркутская обл.)|Ангарск
243|Ангарск Иркутская обл.|Ангарск
244|Ангарск, Иркутская обл.|Ангарск
245|Ангарск, Иркутская область|Ангарск
246|Ангарск,Иркутской обл.|Ангарск
247|Ангарск/Иркутск|Ангарск Иркутск
248|Андреаполь|Андреаполь
249|Андреевка|Андреевка
250|Анжеро-Судженск|Анжеро-Судженск
251|Анна|Анна
252|Апастово|Апастово
253|Апатиты|Апатиты
254|Апатиты (Мурманская обл.)|Апатиты 
255|Апатиты, (Мурманская область)|Апатиты
256|Апатиты, Мурманская обл.|Апатиты
257|Апрелевка|Апрелевка
258|Апрелевка (Москва и область)|Апрелевка Москва 
259|Апшеронск|Апшеронск
260|Апшеронск (Краснодарский край)|Апшеронск 
261|Арамиль (Екатеринбург)|Арамиль Екатеринбург
262|Арамиль (Свердловская обл.)|Арамиль
263|Арамиль-Екатеринбург|Арамиль-Екатеринбург
264|Ардатов (Республика Мордовия)|Ардатов 
265|Арзамас|Арзамас
266|Арзгир|Арзгир
267|Аркадак|Аркадак
268|Армавир|Армавир
269|Армавир (Краснодарский край)|Армавир 
270|Армавир Краснодарский|Армавир Краснодарский
271|Армавир,Краснодарский край|Армавир 
272|Армизонское|Армизонское
273|Армянск|Армянск
274|Арсеньев|Арсеньев
275|Артем|Артем
276|Артем (Приморский край)|Артем 
277|Артем Приморского|Артем Приморского
278|Артем, Приморский край|Артем 
279|Артемовский|Артемовский
280|Артём|Артём
281|Артёмовский Свердл.обл.|Артёмовский Свердловская.
282|Архангельск|Архангельск
283|Архангельск (Другие)|Архангельск Другие
284|Архангельск (Москва)|Архангельск Москва 
285|Архангельская область|
286|Архангельское|Архангельское
287|Архипо-Осиповка|Архипо-Осиповка
288|Асбест|Асбест
289|Асбест (Свердловская обл.)|Асбест 
290|Асбест Свердловской обл.|Асбест
291|Асбест Свердловской области|Асбест Асти
292|Асбест, Свердловской области|Асбест Асти
293|Асино|Асино
294|Асино (Томская обл.)|Асино
295|Аскарово (Уфа)|Аскарово Уфа
296|Аскино|Аскино
297|Асрахань|Астрахань
298|Астана|Астана
299|Астана (Москва)|Астана Москва
300|Астраханская обл,Харабалинский р-он,сТамбовка|Самбовка
301|Астраханская обл,г.Ахтубинск| Ахтубинск
302|Астраханская обл. Черноярский район| 
303|Астраханская область, г Нариманов|Г Нариманов
304|Астрахань|Астрахань
305|Астрахань (Астраханская область)|Астрахань
306|Астрахань (Краснодар)|Астрахань Краснодар
307|Астрахань (Санкт-Петербург)|Астрахань Санкт-Петербург
308|Астрахань, Санкт-петербург|Астрахань Санкт-Петербург
309|Астрахань.|Астрахань.
310|Астраххань|Астрахань
311|Аткарск|Аткарск
312|Атырау|Атырау
313|Атырау (Москва)|Атырау Москва
314|Атюрьево|Атюрьево
315|Афины|Афины
316|Афипский|Афипский
317|Ахтубинск|Ахтубинск
318|Ахтубинск (Астраханская обл.)|Ахтубинск
319|Ахтубинск, Астраханская обл.|Ахтубинск
320|Ачинск|Ачинск
321|Ачинск (Красноярский край)|Ачинск 
322|Ачинск, Красноярск, Козулька|Ачинск Красноярск Козулька
323|Ачинск, Красноярский край|Ачинск 
324|Аша|Аша
325|Аша Челябинская обл.|Аша
326|Аша Челябинской обл.|Аша
327|Ашхабад, Туркменистан|Ашхабад Туркменистана
328|БАЙКАЛЬСКИЙ БАНК|Байкальский Банк
329|БАЛАШИХА|Балашиха
330|БАРНАУЛ|Барнаул
331|БЕГОРОД|Белгород
332|БЕЛГОРОД|Белгород
333|БЕРЕЗНИКИ|Березники
334|БИЙСК|Бийск
335|БЛАГОВЕЩЕНСК|Благовещенск
336|БОРЗЯ|Борзя
337|БОРИСОВКА|Борисовка
338|БОРИСОГЛЕБСК|Борисоглебск
339|БРЯНСК|Брянск
340|Бабаево|Бабаево
341|Бавлы|Бавлы
342|Баево|Баево
343|Байкальск|Байкальск
344|Байкальск (Иркутская обл.)|Байкальск
345|Байконур|Байконур
346|Баймак|Баймак
347|Бакал|Бакал
348|Баксан|Баксан
349|Баку (Москва)|Баку Москва
350|Балабаново|Балабаново
351|Балакирево|Балакирево
352|Балаково|Балаково
353|Балаково (Самара)|Балаково Самара
354|Балаково (Саратовская обл.)|Балаково
355|Балаково (Саратовская область)|Балаково 
356|Балаково Саратовской области|Балаково Асти
357|Балаково саратовской области|Балаково Асти
358|Балаково, Саратовская область|Балаково
359|Балаково,Саратовская область|Балаково
360|Балахна|Балахна
361|Балахна, Нижегородская область|Балахна
362|Балахна, Нижегородской области|Балахна Асти
363|Балахта (Красноярский край)|Балахта 
364|Балашиха|Балашиха
365|Балашиха (Москва)|Балашиха Москва
366|Балашиха (Московская обл.)|Балашиха
367|Балашиха (Московская обл.) (Москва и область)|Балашиха Москва
368|Балашиха (Юбилейный)|Балашиха Юбилейный
369|Балашиха и Реутов|Балашиха И Реутов
370|Балашиха, Московской области|Балашиха Асти
371|Балашов|Балашов
372|Балашов (Москва)|Балашов Москва
373|Балашов (Саратовская область)|Балашов 
374|Балгород (Москва)|Белгород Москва
375|Балезино|Балезино
376|Балей|Балей
377|Бали|Бали
378|Балтийск|Балтийск
379|Балтийск (Калининградская обл.)|Балтийск
380|Балтимор|Балтимор
381|Бангкок|Бангкок
382|Банковск|Банковских
383|Барабинск|Барабинск
384|Барановичи|Барановичи
385|Барнаул|Барнаул
386|Барнаул (Алтайский край)| 
387|Барнаул (Москва)| Москва 
388|Барнаул (Новосибирск)| Новосибирск
389|Барнаул, Алтайский край| 
390|Барнаул,Алтайский край| 
391|Барнаул/Любляна (Москва)| Любляна Москва 
392|Барнаул/Москва| Москва
393|Барселона|Барселона
394|Барыш|Барыш
395|Батайск|Батайск
396|Батайск (Ростов-на-Дону)|Батайск Ростов-На-Дону 
397|Батайск (Ростовская обл.)|Батайск 
398|Батайск (Ростовская область)|Батайск
399|Бахтемир|Бахтемир
400|Башкирия г.Салават|Башкирия Салават
401|Башкортостан|Башкортостан
402|Башкортостан салаватский р-н с.Малояз|Башкортостан С.Малояз
403|Башкортостан, Ермекеевский, Нижнеулу-Елга|Башкортостан Ермекеевский Нижнеулу-Елга
404|Башкортостан, Стерлибашевский р-н, с. Куганакбаш|Башкортостан Куганакбаш
405|Башкортостан, Хайбуллинский район, село Байгускарово|Башкортостан Село Байгускарово
406|Башмаково Пензенской области|Башмаково Асти
407|Беезовский|Березовский
408|Бежецк|Бежецк
409|Бежецк Тверской области|Бежецк Асти
410|Безенчук|Безенчук
411|Безенчук (Самарская обл.)|Безенчук 
412|Безенчук (Самарская область)|Безенчук
413|Беларусь, г.Витебск (Смоленск)|Беларусь Витебск Смоленск
414|Белая Глина|Белая Глина
415|Белая Калитва|Белая Калитва
416|Белая Калитва Ростовская область|Белая Калитва 
417|Белая Холуница|Белая Холуница
418|Белгорад|Белгород
419|Белгоро|Белгород
420|Белгород|Белгород
421|Белгород (Белгород)|Белгород Белгород 
422|Белгород (Благовещенка)|Белгород Благовещенка
423|Белгород (Воронеж)|Белгород Воронеж
424|Белгород (Москва)|Белгород Москва 
425|Белгород (Россия)|Белгород Россия 
426|Белгород, Ул.Победы (Университет БГУ)|Белгород Ул.Победы Университет Бегуч 
427|Белгород-22|Белгород-
428|Белгород-Новый Уренгой|Белгород-Новый Уренгой
429|Белгородская обл. Краснояружский р-н с.Графовка| С.Графовка
430|Белгородская область город Губкин| Губкин
431|Белебей|Белебей
432|Белев|Белев
433|Белиджи|Белиджи
434|Белово|Белово
435|Белово (Кемеровская обл.)|Белово 
436|Белово Кемеровская область|Белово
437|Белогорск|Белогорск
438|Белогорск Амурской области|Белогорск Асти
439|Белозерск|Белозерск
440|Белокуриха|Белокуриха
441|Беломорск|Беломорск
442|Белоозерский|Белоозерский
443|Белоозерский (Московская обл.)|Белоозерский 
444|Белорецк|Белорецк
445|Белорецк (Уфа)|Белорецк Уфа
446|Белорецке|Белорецке
447|Белореченск|Белореченск
448|Белореченск (Краснодарский край)|Белореченск 
449|Белоусово|Белоусово
450|Белоярский|Белоярский
451|Белоярский ХМАО|Белоярский Хмао
452|Белоярский, Сургут|Белоярский Сургут
453|Бендеры|Бендеры
454|Бердск|Бердск
455|Бердск (Новосибирск)|Бердск Новосибирск
456|Бердск (Новосибирская обл.)|Бердск
457|Бердск (Новосибирская область)|Бердск
458|Бердск Новосибирская область|Бердск
459|Бердск, Новосибирская область|Бердск 
460|Бердск, новосибирской области|Бердск Асти
461|Бердянск|Бердянск
462|Березник|Березник
463|Березники|Березники
464|Березники (Пермский край)|Березники 
465|Березники, Пермский край|Березники 
466|Березовка (Алтайский край)|Березовка 
467|Березово|Березово
468|Березовский|Березовский
469|Березовский (Свердловская область)|Березовский
470|Березовский, Кемеровская обл.|Березовский
471|Берлин|Берлин
472|Берёзовский|Берёзовский
473|Бея|Бея
474|Биййск|Бийск
475|Бийск|Бийск
476|Бийск (Алтайский край)|Бийск 
477|Бийск (Барнаул)|Бийск Барнаул
478|Бийск (Москва)|Бийск Москва
479|Бикин Хабаровский край|Бикин 
480|Билибино|Билибино
481|Биробиджан|Биробиджан
482|Биробиджжан|Биробиджан
483|Бирск|Бирск
484|Бичура|Бичура
485|Бишкек|Бишкек
486|Бишкек (Москва)|Бишкек Москва
487|Благовещенка|Благовещенка
488|Благовещенск|Благовещенск
489|Благовещенск (Амурская обл.)|Благовещенск
490|Благовещенск (Амурская обл.),|Благовещенск
491|Благовещенск (Владивосток)|Благовещенск Владивосток
492|Благовещенск (Республика Башкортостан)|Благовещенск 
493|Благовещенск (Хабаровск)|Благовещенск Хабаровск
494|Благовещенск - Владивосток|Благовещенск - Владивосток
495|Благовещенск, Амурская обл.|Благовещенск
496|Благовещенск, Амурская область|Благовещенск
497|Благодарный|Благодарный
498|Благоево|Благоево
499|Бобров|Бобров
500|Бобруйск|Бобруйск
501|Богданович|Богданович
502|Богородицк|Богородицк
503|Богородицк (Тульская обл.)|Богородицк
504|Богородицк (Тульская область)|Богородицк
505|Богородицк Тульская облась|Богородицк Ась
506|Богородицк, Тульская область|Богородицк
507|Богородск|Богородск
508|Богородск (Москва)|Богородск Москва
509|Боготол|Боготол
510|Боготол (Новосибирск)|Боготол Новосибирск
511|Богучар, Москва|Богучар Москва
512|Бодайбо|Бодайбо
513|Бокситогорск|Бокситогорск
514|Бологое|Бологое
515|Болотное|Болотное
516|Большаково (Калининградская область)|Большаково
517|Большая Таволожка|Большая Таволожка
518|Большеречье|Большеречье
519|Большие Кайбицы|Большие Кайбицы
520|Большой Камень|Большой Камень
521|Большой Луг|Большой Луг
522|Большой Машляк (Малая Елга)|Большой Машляк Малая Елга
523|Бор|Бор
524|Бор Нижегородской обл|Бор
525|Бор Нижегородской области|Бор Асти
526|Бор, Нижегородская область (Нижний Новгород)|Бор Нижний Новгород
527|Бордо|Бордо
528|Бордо, Франция|Бордо Франция
529|Борзя|Борзя
530|Борисоглеб|Борисоглеб
531|Борисоглебск|Борисоглебск
532|Борисоглебск (Воронежская обл.)|Борисоглебск
533|Борисоглебск Воронежской обл.|Борисоглебск
534|Боровичи|Боровичи
535|Боровичи (Новгородская обл.)|Боровичи
536|Боровичи Новгородской области|Боровичи Асти
537|Боровск|Боровск
538|Боровский|Боровский
539|Бород|Бород
540|Бородино|Бородино
541|Бородино Красноярский край|Бородино 
542|Боьлшой Камень|Большой Камень
543|Братислава|Братислава
544|Братск|Братск
545|Братск (Иркутская обл.)|Братск
546|Братск (Москва)|Братск Москва
547|Братск Иркутской обл|Братск
548|Братск Иркутской обл.|Братск
549|Братск и Москва|Братск И Москва
550|Бреды|Бренды
551|Бристоль|Бристоль
552|Бронницы|Бронницы
553|Брюссель|Брюссель
554|Брюховецкая|Брюховецкая
555|Брянск|Брянск
556|Брянск (Брянск)|Брянск Брянск
557|Брянск (Брянская область)|Брянск
558|Брянск (Москва)|Брянск Москва
559|Брянск (Сочи)|Брянск Сочи
560|Брянск (Ульяновск)|Брянск Ульяновск
561|Брянск и Сураж|Брянск И Сураж
562|Брянская обл.г.Дятьково| Дятьково
563|Брянская область, г.Клинцы| Клинцы
564|Бугульма|Бугульма
565|Бугульма (Республика Татарстан)|Бугульма 
566|Бугуруслан|Бугуруслан
567|Бугуруслан  (т.к. от имени папы)|Бугуруслан Т.К. От Имени Папы
568|Бугуруслан (Оренбургская обл.)|Бугуруслан
569|Бугуруслан-Москва|Бугуруслан-Москва
570|Будапешт, Венгрия|Будапешт Венгрия
571|Буденновск|Буденновск
572|Будённовск|Будённовск
573|Буздяк|Буздяк
574|Буздякский район, Буздяк|Буздяк
575|Бузулук|Бузулук
576|Бузулук (Оренбургская обл.)|Бузулук
577|Буинск|Буинск
578|Буй|Буй
579|Буйнакск|Буйнакск
580|Булгаково|Булгакова
581|Бутурлиновка|Бутурлиновка
582|Бутурлиновка, Воронежская обл. (Бутурлиновка)|Бутурлиновка Бутурлиновка
583|Бухарест|Бухарест
584|Бушер Исламская Республика Иран|Бушер Исламская 
585|Быково|Быково
586|В. Пышма|В. Пышма
587|В.Новгород|В.Новгород
588|В/ч 32516|В Ч
589|ВЕЛИКИЕ ЛУКИ|Великие Луки
590|ВИЧУГА|Вичуга
591|ВЛАДИВОСТОК|Владивосток
592|ВЛАДИКАВКАЗ|Владикавказ
593|ВЛАДИМИР|Владимир
594|ВОЛГОГРАД|Волгоград
595|ВОЛГОГРАДСКАЯ ОБЛАСТЬ ОЛЬХОВСКИЙ РАЙОН| Ольховский Район
596|ВОЛГОДОНСК|Волгодонск
597|ВОЛЖСИЙ|Волжский
598|ВОЛЖСКИЙ|Волжский
599|ВОЛОГДА|Вологда
600|ВОРОНЕЖ|Воронеж
601|ВОТКИНСК|Воткинск
602|ВЫБОРГ|Выборг
603|ВЫБОРГ ЛЕНИНГРАДСКАЯ ОБЛАСТЬ|Выборг 
604|ВЫборг|Выборг
605|Валдай|Валдай
606|Валдай (Новгородская обл.)|Валдай
607|Валдай,Новгородская область|Валдай
608|Валуйки|Валуйки
609|Валуки|Валуйки
610|Ванино|Ванино
611|Ванино Хабаровский край|Ванино 
612|Ванинский район Хабаровский ккай| 
613|Ванинский район Хабаровский край| 
614|Ванкувер|Ванкувер
615|Варна|Варна
616|Васильчуки (Алтайский край)|Васильчуки 
617|Вахруши|Вахруши
618|Вача|Вача
619|Вел.Новгород|Вел.Новгород
620|Великие Луки|Великие Луки
621|Великие Луки (Псковская обл.)|Великие Луки
622|Великие Луки Псковской области|Великие Луки Асти
623|Великие Луки, Псковской области|Великие Луки Асти
624|Великий  Новгород (Нижний Новгород)|Великий Новгород Нижний Новгород
625|Великий Новгород|Великий Новгород
626|Великий Новгород (Другие)|Великий Новгород Другие 
627|Великий Новгород (Новгородская область)|Великий Новгород 
628|Великий Новгород (Санкт-Петербург)|Великий Новгород Санкт-Петербург 
629|Великий Новгород, Санкт-Петербург|Великий Новгород Санкт-Петербург
630|Великий Новгород\Москва|Великий Новгород\Москва
631|Великий Устюг|Великий Устюг
632|Великий новгород|Великий Новгород
633|ВеликийНовгород|Великий Новгород
634|Великй Новгород|Великий Новгород
635|Вельск|Вельск
636|Венгрия, но пишу по поводу г.Воронежа|Венгрия Но Пишу По Поводу Воронежа
637|Венев|Венев
638|Верещагино|Верещагино
639|Верхнеднепровский|Верхнеднепровский
640|Верхнеуральск|Верхнеуральск
641|Верхние Киги (Республика Башкортостан)|Верхние Киги 
642|Верхние Серги|Верхние Серги
643|Верхний Баскунчак|Верхний Баскунчак
644|Верхний Уфалей|Верхний Уфалей
645|Верхняя - Пышма|Верхняя - Пышма
646|Верхняя Пышма|Верхняя Пышма
647|Верхняя Пышма (Свердловская обл.)|Верхняя Пышма
648|Верхняя Пышма, Свердловская облась|Верхняя Пышма Ась
649|Верхняя Салда|Верхняя Салда
650|Верхняя Салда, Свердловская область|Верхняя Салда 
651|Верхняя Тура|Верхняя Тура
652|Верхняя салда|Верхняя Салда
653|Верхняя-Пышма|Верхняя Пышма-
654|Верховажье|Верховажье
655|Верхошижемье|Верхошижемье
656|Веселый|Веселый
657|Весьегонск|Весьегонск
658|Ветлуга|Ветлуга
659|Видное|Видное
660|Видное (Москва)|Видное Москва
661|Видное (Московская обл.)|Видное
662|Видное МО|Видное Мо
663|Викулово|Викулово
664|Вилючинск|Вилючинск
665|Вилючинск (Камчатский край)|Вилючинск 
666|Витебск|Витебск
667|Вихоревка|Вихоревка
668|Вичуга|Вичуга
669|Вишневогорск|Вишневогорск
670|Владивосток|Владивосток
671|Владивосток (Владивосток)|Владивосток Владивосток
672|Владивосток (Приморский край)|Владивосток 
673|Владивосток - Санкт-Петербург|Владивосток - Санкт-Петербург
674|Владик|Владик
675|Владикавкавказ|Владикавказ
676|Владикавказ|Владикавказ
677|Владикавказ, РСО-А|Владикавказ Рсо-А
678|Владикавказ-Москва|Владикавказ-Москва
679|Владимир|Владимир
680|Владимир (Владимирская область)|Владимир
681|Владимир (Москва)|Владимир Москва
682|Владимир (Нижний Новгород)|Владимир Нижний Новгород
683|Владимир,Владимирский область|Владимир
684|Владимиркая область|
685|Владимирская обл.|
686|Владимирская область п.Ставрово|П.Ставрово
687|Владимирская область, город Собинка| Собинка
688|Власиха|Власиха
689|Влг|Влг
690|Влг (Москва)|Влг Москва
691|Вносил деньги в Санкт-Петербурге, проживаю в Нижнем Новгороде|Вносил Деньги В Санкт-Петербурге Проживаю В Нижнем Новгороде
692|Воздвиженское|Воздвиженское
693|Возжаевка-1|Возжаевка-1
694|Возрождение|Возрождение
695|Войвож|Войвож
696|Волгогад|Волгоград
697|Волгоград|Волгоград
698|Волгоград  (филиал Бинбанка на пр-те Ленина 10)|Волгоградский Филиал Бинбанка На -Те Ленина
699|Волгоград (Волгоградская область)|Волгоград
700|Волгоград (Волжский)|Волгоград Волжский
701|Волгоград (Краснодар)|Волгоград Краснодар
702|Волгоград (Москва)|Волгоград Москва
703|Волгоград (Ростов-на-Дону)|Волгоград Ростов-На-Дону
704|Волгоград (Самара)|Волгоград Самара
705|Волгоград (Ульяновск)|Волгоград Ульяновск
706|Волгоград, Сургут|Волгоград Сургут
707|Волгоград-Москва|Волгоград-Москва
708|Волгоград-Санкт-Петербург|Волгоград-Санкт-Петербург
709|Волгоград/Москва|Волгоград Москва
710|Волгоградская обл. Калач на Дону|Калач На Дону
711|Волгоградская область|
712|Волгоградская область (Вологодская область)| 
713|Волгоградская область город Палласовка| Палласовка
714|Волгоградский филиал на ул. Невская|Волгоградский Филиал На 
715|Волгодонс|Волгодонск
716|Волгодонск|Волгодонск
717|Волгодонск ( Ростовской обл.) (Москва)|Волгодонск Москва
718|Волгодонск (Ростовская обл.)|Волгодонск
719|Волгодонской район, х. Погожев|Х. Погожев
720|Волгорад|Волгоград
721|Волгорад.|Волгоград.
722|Волгореченск|Волгореченск
723|Волжск|Волжск
724|Волжск - Москва (Йошкар-Ола)|Волжск - Москва Йошкар-Ола
725|Волжск-Казань|Волжск-Казань
726|Волжск-Москва|Волжск-Москва
727|Волжский|Волжский
728|Волжский (Волгоградская обл.)|Волжский
729|Волжский Волгоградская обл|Волжский
730|Волжский Волгоградская область|Волжский
731|Волжский Волгоградской обл.|Волжский
732|Волжский Волгоградской области|Волжский Асти
733|Волжский, Волгоградская область|Волжский
734|Вологда|Вологда
735|Вологда (Санкт-Петербург)|Вологда Санкт-Петербург
736|Вологда (Хабаровск)|Вологда Хабаровск
737|Вологда, Вологодская область|Вологда
